45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,
2,11,11,11,11,11,11,11,11,11,11,11,11,44,43,11,11,11,11,11,11,11,11,11,12,11,11,1,
4,46,46,46,46,46,46,46,46,46,46,46,46,26,25,46,46,46,46,46,46,46,46,46,46,46,46,3,
4,46,24,15,15,23,46,24,16,16,16,23,46,26,25,46,24,15,15,15,23,46,24,15,15,23,46,3,
4,48,26,45,45,25,46,26,45,45,45,25,46,26,25,46,26,45,45,45,25,46,26,45,45,25,48,3,
4,46,28,22,22,27,46,28,22,22,22,27,46,28,27,46,28,22,22,22,27,46,28,22,22,27,46,3,
4,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,3,
4,46,24,15,15,23,46,24,23,46,24,15,15,15,15,15,15,23,46,24,23,46,24,15,15,23,46,3,
4,46,28,22,22,27,46,26,25,46,28,21,21,36,35,21,21,27,46,26,25,46,28,21,21,27,46,3,
4,46,46,46,46,46,46,26,25,46,46,46,46,26,25,46,46,46,46,26,25,46,46,46,46,46,46,3,
6,13,13,13,13,23,46,26,37,15,15,23,45,26,25,45,24,15,15,38,25,46,24,14,14,14,14,5,
45,45,45,45,45,4,46,26,35,21,21,27,45,28,27,45,28,21,21,36,25,46,3,45,45,45,45,45,
45,45,45,45,45,4,46,26,25,45,45,45,45,45,45,45,45,45,45,26,25,46,3,45,45,45,45,45,
45,45,45,45,45,4,46,26,25,45,30,13,34,0,0,33,13,29,45,26,25,46,3,45,45,45,45,45,
12,12,12,12,12,27,46,28,27,45,3,45,45,45,45,45,45,4,45,28,27,46,28,12,12,12,12,12,
45,45,45,45,45,45,46,45,45,45,3,45,45,45,45,45,45,4,45,45,45,46,45,45,45,45,45,45,
13,13,13,13,13,23,46,24,23,45,3,45,45,45,45,45,45,4,45,24,23,46,24,14,14,14,14,14,
45,45,45,45,45,4,46,26,25,45,32,12,12,12,12,12,12,31,45,26,25,46,3,45,45,45,45,45,
45,45,45,45,45,4,46,26,25,45,45,45,45,45,45,45,45,45,45,26,25,46,3,45,45,45,45,45,
45,45,45,45,45,4,46,26,25,45,24,15,15,15,15,15,15,23,45,26,25,46,3,45,45,45,45,45,
2,12,12,12,12,27,46,28,27,45,28,21,21,36,35,21,21,27,45,28,27,46,28,12,12,12,12,1,
4,46,46,46,46,46,46,46,46,46,46,46,46,26,25,46,46,46,46,46,46,46,46,46,46,46,46,3,
4,46,24,15,15,23,46,24,15,15,15,23,46,26,25,46,24,15,15,15,23,46,40,15,15,23,46,3,
4,46,28,21,36,25,46,28,21,21,21,27,46,28,27,46,28,21,21,21,27,46,26,35,21,27,46,3,
4,48,46,46,26,25,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,26,25,46,46,48,3,
8,15,23,46,26,25,46,24,23,46,24,15,15,15,15,15,15,23,46,24,23,46,26,25,46,24,15,7,
10,21,27,46,28,27,46,26,25,46,28,21,21,36,35,21,21,27,46,26,25,46,28,27,46,28,22,9,
4,46,46,46,46,46,46,26,25,46,46,46,46,26,25,46,46,46,46,26,25,46,46,46,46,46,46,3,
4,46,24,15,15,15,15,38,37,15,15,23,46,26,25,46,24,15,15,38,37,15,15,15,15,23,46,3,
4,46,28,22,22,21,21,21,21,21,22,27,46,28,27,46,28,21,21,21,21,21,22,22,22,27,46,3,
4,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,3,
6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,5
